length,number_of_hashtags,number_of_mentions,likes_received,retweets_received,sentiment_polarity,sentiment.subjectivity,time
142,0,0,83928,16096,0.16,0.23000000000000004,14
87,0,0,59704,13391,-0.15000000000000002,0.8,14
142,0,0,153941,41835,0.1,0.5,14
142,0,0,87060,17079,0.23500000000000001,0.34500000000000003,01
142,0,0,154650,34799,0.1,0.19166666666666665,21
146,0,0,78339,19178,0.11666666666666668,0.3833333333333333,14
141,0,0,102833,26763,-0.25,0.4388888888888889,13
112,0,0,68546,19991,-0.10833333333333332,0.7333333333333334,23
142,0,1,114716,34176,0.225,0.3875,22
142,0,2,45164,10313,0.05,0.325,22
142,0,0,71836,15207,-0.05555555555555555,0.3055555555555555,21
144,1,0,51990,11355,0.9,0.875,19
146,0,0,165818,43647,0.0,0.06666666666666667,22
142,0,0,102454,21006,-0.18333333333333335,0.4166666666666667,18
142,0,0,145193,33753,-0.3,0.8333333333333334,15
142,0,0,92435,15545,0.3333333333333333,0.5,12
142,0,0,69503,16051,-0.175,0.175,12
142,0,0,60890,15294,0.0,0.0,11
41,0,0,69318,15326,1.0,0.75,04
57,0,0,65955,12280,0.9,0.75,04
145,3,3,0,7663,0.0,0.0,04
142,0,5,0,7029,0.3,0.1,04
142,0,0,90202,18900,0.0,0.0,23
142,0,1,57977,11219,0.6666666666666666,0.5833333333333334,22
43,0,0,101152,24558,1.0,1.0,15
142,0,0,52619,8611,0.018181818181818174,0.3,13
25,0,0,148332,37414,1.0,0.75,11
40,0,1,9819,4084,1.0,0.75,11
142,0,0,206928,44185,0.25,0.325,11
70,0,0,51738,10409,0.625,0.5,02
142,0,0,124913,25639,-0.125,0.225,21
140,0,1,64070,11198,0.325,0.325,21
107,0,2,0,15231,0.0,0.0,21
141,0,1,51979,11306,0.0,0.1,13
142,0,0,78264,15820,0.0,0.0,11
150,0,2,0,9919,0.12066326530612244,0.7563775510204082,11
142,0,0,120760,25403,0.06818181818181818,0.22727272727272727,10
142,0,0,160511,38845,-0.05,0.05,10
149,0,0,125942,32971,0.0,0.0,10
142,0,0,75217,14812,0.28409090909090906,0.375,22
142,0,1,64322,14600,0.0,0.0,18
131,0,2,79506,18110,0.25,0.2,11
144,0,0,156633,37434,-0.07777777777777779,0.14444444444444446,11
142,0,0,74331,14805,-0.21458333333333335,0.5520833333333333,02
142,0,0,150752,36505,-0.3,0.2222222222222222,01
142,0,0,65954,13506,-0.18958333333333335,0.3520833333333333,23
142,0,0,135331,30154,-0.05,0.065,23
142,0,0,70562,16492,0.8,0.75,23
142,0,0,274172,76419,-0.1,0.0,17
98,0,2,0,9400,0.45,0.75,13
100,0,1,0,6909,-0.9,1.0,13
144,0,0,191185,51233,-0.10000000000000002,0.5666666666666668,13
142,0,0,128005,23430,-0.13333333333333333,0.3333333333333333,00
129,0,1,55023,10910,0.0,0.0,23
142,0,0,75951,19876,-0.2,0.0,15
138,0,0,99710,21483,0.375,0.5416666666666666,11
108,0,0,74949,14594,0.6666666666666666,0.5666666666666667,10
140,0,0,85234,20247,0.25,0.45,03
144,0,0,87072,24074,-0.6999999999999998,0.6666666666666666,03
139,0,0,63875,12888,0.23125,0.275,02
144,1,0,67930,16181,0.0,0.1,20
142,0,0,65695,13779,0.0,0.0,18
93,0,0,91045,19592,0.0,0.1,12
123,0,0,93232,17146,0.26749999999999996,0.73,11
139,0,0,88827,18089,0.4,0.5,11
59,0,0,70704,12096,0.0,0.1,02
120,0,0,101200,23744,0.0,0.5,02
130,0,1,73223,15483,-0.2807291666666667,0.5416666666666666,16
130,0,0,84840,15557,0.5687499999999999,0.6333333333333333,16
138,0,1,67057,14227,0.45,0.525,16
121,0,0,164272,43348,-0.125,0.0,15
34,0,0,48042,10548,0.0,0.0,10
48,0,0,32126,5147,-0.36458333333333337,0.5416666666666666,10
137,0,1,134861,32502,-0.5416666666666666,0.6222222222222222,10
139,0,1,52148,9535,0.56875,0.575,10
125,0,0,91964,16847,0.53125,0.6499999999999999,10
142,1,4,0,9012,0.375,0.475,10
142,0,1,0,38704,-0.009595959595959616,0.3717171717171717,10
142,0,1,0,3939,0.225,0.32499999999999996,10
142,1,3,0,19939,1.0,0.75,10
72,0,0,84899,11806,0.9875,0.875,04
52,1,0,85780,19802,0.0,0.0,17
142,0,0,55757,10571,0.6000000000000001,0.9,09
146,1,0,65144,15755,0.10000000000000003,0.525,08
103,0,1,85820,19955,0.0625,0.5,06
142,1,0,48119,8556,0.35,0.95,05
142,0,0,83758,16919,0.0,0.0,05
107,0,1,57999,11095,0.4,0.375,05
141,1,0,77223,14566,0.29375,0.4,02
152,0,0,77628,16504,-0.08055555555555556,0.8138888888888888,15
137,0,0,69958,12666,0.47500000000000003,0.5,14
144,1,0,72616,13864,0.25,0.41666666666666663,12
142,1,0,43848,8676,0.8,0.75,12
34,0,0,61736,10768,0.0,0.0,14
142,1,0,58581,10944,1.0,1.0,11
114,0,0,71901,10829,1.0,0.75,10
